playerid,xMLBAMID,PlayerName,Team,G,AB,R,1B,2B,3B,HR,RBI,SB,BB,HBP
15640,592450,Aaron Judge,NYY,152,541,137,94,30,2,53,114,12,124,7
21534,663728,Cal Raleigh,SEA,159,596,110,63,24,0,60,125,14,97,9
25764,677951,Bobby Witt Jr.,KCR,157,623,99,108,47,6,23,88,38,49,8
19755,660271,Shohei Ohtani,LAD,158,611,146,83,25,9,55,102,20,109,3
22799,672695,Geraldo Perdomo,ARI,161,597,98,115,33,5,20,100,27,94,10
16252,607208,Trea Turner,PHI,141,589,94,126,31,7,15,69,36,43,5
25878,682998,Corbin Carroll,ARI,143,564,107,66,32,17,31,84,32,67,7
13510,608070,José Ramírez,CLE,158,593,103,101,34,3,30,85,44,66,8
12916,596019,Francisco Lindor,NYM,160,644,117,106,35,0,31,86,31,65,16
19709,665487,Fernando Tatis Jr.,SDP,155,594,111,105,27,2,25,71,32,89,6
20123,665742,Juan Soto,NYM,160,577,120,88,20,1,43,105,38,127,3
23697,677594,Julio Rodríguez,SEA,160,652,106,107,31,4,32,95,30,44,12
21636,665161,Jeremy Peña,HOU,125,493,68,101,30,2,17,62,20,35,12
22715,672580,Maikel Garcia,KCR,160,595,81,110,39,5,16,74,23,62,1
27769,691718,Pete Crow-Armstrong,CHC,157,591,91,74,37,4,31,95,35,29,9
12856,543807,George Springer,TOR,140,498,106,94,27,1,32,84,18,69,8
14161,621439,Byron Buxton,MIN,126,488,97,66,21,7,35,83,24,41,7
16478,656941,Kyle Schwarber,PHI,162,604,111,64,23,2,56,132,10,108,11
15998,641355,Cody Bellinger,NYY,152,588,89,101,25,5,29,98,13,57,2
21479,663538,Nico Hoerner,CHC,156,599,89,138,29,4,7,61,29,39,7
26289,683002,Gunnar Henderson,BAL,154,577,85,102,34,5,17,68,30,62,7
14344,621566,Matt Olson,ATL,162,624,98,98,41,2,29,95,1,91,4
22581,672386,Alejandro Kirk,TOR,130,451,45,94,18,0,15,76,1,48,1
13613,606466,Ketel Marte,ARI,126,480,87,80,28,0,28,72,4,64,9
35110,701762,Nick Kurtz,ATH,117,420,90,58,26,2,36,86,2,63,2
28163,691406,Junior Caminero,TBR,154,602,93,86,28,0,45,110,7,41,3
18345,663656,Kyle Tucker,CHC,136,500,91,82,25,4,22,73,25,87,4
22186,668930,Brice Turang,MIL,156,584,97,120,28,2,18,81,24,66,2
20454,665862,Jazz Chisholm Jr.,NYY,130,462,75,65,15,1,31,80,31,58,6
26668,682829,Elly De La Cruz,CIN,162,629,102,106,31,7,22,86,37,67,2
19197,669257,Will Smith,LAD,110,362,64,69,20,1,17,61,2,64,5
33333,694671,Wyatt Langford,TEX,134,489,73,70,25,1,22,62,22,74,5
24816,681624,Andy Pages,LAD,156,581,74,103,27,1,27,86,14,29,8
27464,693307,Dillon Dingler,DET,126,435,54,85,21,2,13,57,0,23,9
15986,642715,Willy Adames,SFG,160,591,94,79,22,2,30,87,12,80,5
13624,608369,Corey Seager,TEX,102,380,61,63,19,0,21,50,3,58,5
26151,669065,Kyle Stowers,MIA,117,399,61,66,21,3,25,73,5,48,5
25816,669127,Shea Langeliers,ATH,123,481,73,70,32,0,31,72,7,36,1
24617,680776,Jarren Duran,BOS,157,620,86,89,41,13,16,84,24,60,12
5361,518692,Freddie Freeman,LAD,147,556,81,99,39,2,24,90,6,60,6
19611,665489,Vladimir Guerrero Jr.,TOR,156,589,96,115,34,0,23,84,6,81,6
19612,666182,Bo Bichette,TOR,139,582,78,118,44,1,18,94,4,40,3
12552,553993,Eugenio Suárez,- - -,159,588,91,57,28,0,49,118,4,46,16
24262,678882,Ceddanne Rafaela,BOS,156,546,84,82,34,4,16,63,20,28,8
11493,592518,Manny Machado,SDP,159,615,91,109,33,0,27,95,14,55,3
16505,656305,Matt Chapman,SFG,128,454,76,59,23,2,21,61,9,71,6
20503,661388,William Contreras,MIL,150,566,89,102,28,0,17,76,6,84,3
19251,624413,Pete Alonso,NYM,162,624,87,90,41,1,38,126,1,61,15
29622,686217,Sal Frelick,MIL,142,528,76,117,20,3,12,63,19,47,7
17678,608324,Alex Bregman,BOS,114,433,64,72,28,0,18,62,1,51,9
18401,660670,Ronald Acuña Jr.,ATL,95,338,74,64,12,1,21,42,9,71,3
27479,691026,Masyn Winn,STL,129,491,72,88,27,0,9,51,9,34,8
