playerid,xMLBAMID,PlayerName,Team,G,GS,IP,W,SV,HLD,H,ER,BB,HBP,SO
22267,669373,Tarik Skubal,DET,31,31,195.1,13,0,0,141,48,33,5,241
33677,694973,Paul Skenes,PIT,32,32,187.2,10,0,0,136,41,42,6,216
20778,650911,Cristopher Sánchez,PHI,32,32,202.0,13,0,0,171,56,44,6,212
27463,676979,Garrett Crochet,BOS,32,32,205.1,18,0,0,165,59,46,3,255
17995,657277,Logan Webb,SFG,34,34,207.0,15,0,0,210,74,46,6,224
19959,666200,Jesús Luzardo,PHI,32,32,183.2,15,0,0,167,80,57,3,216
33825,808967,Yoshinobu Yamamoto,LAD,30,30,173.2,12,0,0,113,48,59,3,201
13743,608331,Max Fried,NYY,32,32,195.1,19,0,0,164,62,51,10,189
25880,686613,Hunter Brown,HOU,31,31,185.1,12,0,0,133,50,57,7,206
14107,592332,Kevin Gausman,TOR,32,32,193.0,10,0,0,155,77,50,3,189
10310,554430,Zack Wheeler,PHI,24,24,149.2,10,0,0,107,45,33,8,195
17277,624133,Ranger Suarez,PHI,26,26,157.1,12,0,0,154,56,38,6,151
17295,664285,Framber Valdez,HOU,31,31,192.0,13,0,0,171,78,68,7,187
29911,671096,Andrew Abbott,CIN,29,29,166.1,10,0,0,148,53,43,3,149
9132,543135,Nathan Eovaldi,TEX,22,22,130.0,11,0,0,90,25,21,7,129
15454,601713,Nick Pivetta,SDP,31,31,181.2,13,0,0,129,58,50,3,190
14078,608379,Michael Wacha,KCR,31,31,172.2,10,0,0,166,74,45,4,126
18679,642547,Freddy Peralta,MIL,33,33,176.2,17,0,0,124,53,66,9,204
30279,693433,Bryan Woo,SEA,30,30,186.2,15,0,0,137,61,36,4,198
10603,519242,Chris Sale,ATL,21,20,125.2,7,0,0,102,36,32,11,165
12768,543243,Sonny Gray,STL,32,32,180.2,14,0,0,185,86,38,3,201
15440,571510,Matthew Boyd,CHC,31,31,179.2,14,0,0,154,64,42,9,154
18525,656302,Dylan Cease,SDP,32,32,168.0,8,0,0,152,85,71,5,215
10954,594798,Jacob deGrom,TEX,30,30,172.2,12,0,0,122,57,37,3,185
21455,663460,Kris Bubic,KCR,20,20,116.1,8,0,0,98,33,39,3,116
22286,669432,Trevor Rogers,BAL,18,18,109.2,9,0,0,70,22,29,2,103
16137,607074,Carlos Rodón,NYY,33,33,195.1,18,0,0,132,67,73,9,203
20302,656849,David Peterson,NYM,30,30,168.2,9,0,0,166,79,65,7,150
21390,657746,Joe Ryan,MIN,31,30,171.0,13,0,0,138,65,39,12,194
11156,518876,Merrill Kelly,- - -,32,32,184.0,12,0,0,157,72,48,2,167
22100,667755,José Soriano,LAA,31,31,169.0,10,0,0,158,80,78,5,152
22182,668881,Hunter Greene,CIN,19,19,107.2,7,0,0,75,33,26,2,132
22201,669022,MacKenzie Gore,WSN,30,30,159.2,5,0,0,152,74,64,5,185
25377,663903,Brady Singer,CIN,32,32,169.2,14,0,0,150,76,60,14,163
26378,666157,Nick Lodolo,CIN,29,28,156.2,9,0,0,138,58,31,13,156
27867,671922,Cade Smith,CLE,76,0,73.2,8,16,19,55,24,19,4,104
10233,547973,Aroldis Chapman,BOS,67,0,61.1,5,32,4,28,8,15,0,85
